[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3667722941.3194,03/21/2016,11:55 am
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC690,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM542,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,512,PREAMP_SERIAL_NUMBER
INFO,LB692,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3667723264.959,300.024108886719,4999.79565429687,-0.000508975013707974,2.49671895957358E-6,1,0.499626677034896,40.0298881530762,1.00246621010229,13.1099997088313,-0.00140789047977257,-0.000255303998472247,0.25,6.64709164615223E-7,-0.000508881978644116,-1.3739805519984E-6,300.024566650391,300.024566650391,4999.7900390625,4999.80126953125,56.709493955756,19.8804592013294,37.9032325744629,0,0,0,20,299.829742431641,1,4,1,1.10824584960938,35.190616607666,,,,,,,,,,,,,,,,
,3667723272.1,300.015884399414,4999.62084960937,-0.000509288966725583,4.69655305851428E-6,1,0.499626677034896,40.0298881530762,1.00248552633005,13.1099997088313,-0.00140667519785995,-0.000267022736669152,0.25,-3.51350950706354E-6,-0.000509179289572066,-5.55273906256854E-6,300.016052246094,300.016052246094,4999.4287109375,4999.81298828125,56.7048041846406,19.8824001427649,37.9484977722168,0,0,0,20,299.809143066406,1,6,1,1.10763549804688,34.7018585205078,,,,,,,,,,,,,,,,
,3667723273.9525,300.013198852539,4938.99047851562,-0.000499073398295818,3.26742917389263E-6,1,0.499626677034896,40.0298881530762,1.00251289119035,13.1099997088313,-0.0013790920825276,-0.000258416632145511,0.25,-2.26525189911732E-6,-0.000498970685715831,-4.26383478722821E-6,300.014099121094,300.014099121094,4928.9873046875,4948.99365234375,56.5133051974291,19.8816262505753,37.9494361877441,0,0,0,20,299.813293457031,1,6,1,1.09970092773438,35.6793746948242,,,,,,,,,,,,,,,,
,3667723274.9895,300.011489868164,4895.03369140625,-0.000492694728834856,4.8426661812765E-6,1,0.499626677034896,40.0298881530762,1.00247779858897,13.1099997088313,-0.00136054015532599,-0.000259912655868429,0.25,-3.97474358932635E-6,-0.000492586395221484,-5.94748039664779E-6,300.011779785156,300.011779785156,4885.04345703125,4905.02392578125,56.4664074862752,19.8816596615823,37.9517822265625,0,0,0,20,299.814300537109,1,6,1,1.10015869140625,34.2131004333496,,,,,,,,,,,,,,,,
,3667723276.468,300.009719848633,4835.22094726562,-0.000484713001858363,5.53208760753068E-6,1,0.499626677034896,40.0298881530762,1.00247127688039,13.1099997088313,-0.00133798952471274,-0.000258443249713358,0.25,-4.90214338412168E-6,-0.000484602480250959,-6.84276336768346E-6,300.010986328125,300.010986328125,4825.2060546875,4845.23583984375,56.7477937531983,19.8824320367903,37.952953338623,0,0,0,20,299.815277099609,1,6,1,1.10809326171875,34.7018585205078,,,,,,,,,,,,,,,,
,3667723277.4485,300.008255004883,4799.22900390625,-0.000484821304497685,4.09769848623907E-6,1,0.499626677034896,40.0298881530762,1.00244393477365,13.1099997088313,-0.00133968631849164,-0.000250643755297991,0.25,-2.06449707924532E-6,-0.000484722153836076,-4.00610269818036E-6,300.008697509766,300.008697509766,4789.19677734375,4809.26123046875,56.5617661656214,19.8808254028082,37.9595222473145,0,0,0,20,299.819061279297,1,6,1,1.1083984375,34.7018585205078,,,,,,,,,,,,,,,,
,3667723278.973,300.007369995117,4737.37915039063,-0.000473204901910878,3.91690102282018E-6,1,0.499626677034896,40.0298881530762,1.00250019733049,13.1099997088313,-0.00130743439445089,-0.000245888897128768,0.25,-2.46226917926798E-6,-0.000473106349271306,-4.35729041733201E-6,300.006927490234,300.006927490234,4725.36376953125,4749.39453125,56.5930313063906,19.8807620201054,37.9602241516113,0,0,0,20,299.821838378906,1,6,1,1.10809326171875,35.190616607666,,,,,,,,,,,,,,,,
,3667723279.9515,300.006103515625,4697.392578125,-0.000467944126993855,4.40818206108444E-6,1,0.499626677034896,40.0298881530762,1.00253415154838,13.1099997088313,-0.00129402607408915,-0.000237234406063092,0.25,-2.91054125075184E-7,-0.000467855278112414,-2.16542793983197E-6,300.006103515625,300.006103515625,4689.39013671875,4705.39501953125,56.6516534453329,19.8818008403666,37.9531898498535,0,0,0,20,299.823425292969,1,6,1,1.10809326171875,35.190616607666,,,,,,,,,,,,,,,,
,3667723281.4815,300.004119873047,4635.28588867188,-0.000459577536364716,4.05225633927816E-6,1,0.499626677034896,40.0298881530762,1.00250923610027,13.1099997088313,-0.0012685104123481,-0.000245838386908831,0.25,-4.93270157118571E-6,-0.000459471693864798,-6.772720262601E-6,300.004455566406,300.004455566406,4625.255859375,4645.31591796875,56.5930313063906,19.8820803417066,37.94287109375,0,0,0,20,299.828948974609,1,6,1,1.11846923828125,34.7018585205078,,,,,,,,,,,,,,,,
,3667723282.442,300.003356933594,4599.36328125,-0.000457251477453677,4.66633172791719E-6,1,0.499626677034896,40.0298881530762,1.00249923001911,13.1099997088313,-0.00126417922630125,-0.000233087686691672,0.25,-7.479840697995E-7,-0.000457162845412498,-2.57948238473983E-6,300.003356933594,300.003356933594,4589.35400390625,4609.37255859375,56.6368025034675,19.882562466864,37.9363021850586,0,0,0,20,299.830352783203,1,6,1,1.10946655273438,35.190616607666,,,,,,,,,,,,,,,,
