[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3667720562.15234,03/21/2016,11:16 am
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC690,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM542,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,512,PREAMP_SERIAL_NUMBER
INFO,LB692,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3667721309.941,300.055572509766,4999.7841796875,-0.000568423678781914,4.85083479172513E-6,1,0.499626677034896,40.0298881530762,1.00205330440908,13.9300003647804,-0.00156936301452895,-0.000297722302340744,0.25,-3.857944213466E-6,-0.000568300704168432,-6.13359956021316E-6,300.055572509766,300.055572509766,4999.7783203125,4999.7900390625,56.5109603118714,19.892566712288,37.6058464050293,0,0,0,20,299.839263916016,1,4,1,1.10137939453125,34.7018585205078,,,,,,,,,,,,,,,,
,3667721316.9835,300.043853759766,4999.88330078125,-0.000563749560688542,5.18739818176141E-6,1,0.499626677034896,40.0298881530762,1.00210818327741,13.9300003647804,-0.00155792295539658,-0.000287741221491337,0.25,-1.0953471414295E-6,-0.000563638773487731,-3.35291236998129E-6,300.043853759766,300.043853759766,4999.88330078125,4999.88330078125,56.6454004171791,19.8939265732253,37.6330528259277,0,0,0,20,299.829956054687,1,6,1,1.10031127929688,35.190616607666,,,,,,,,,,,,,,,,
,3667721318.9235,300.040969848633,4930.984375,-0.000550846999164337,4.674775961776E-6,1,0.499626677034896,40.0298881530762,1.00207479337313,13.9300003647804,-0.00152009883253396,-0.000292737158558277,0.25,-5.26312429098542E-6,-0.000550722011129631,-7.46827324099953E-6,300.041259765625,300.041259765625,4920.95703125,4941.01171875,56.6321127323521,19.8933380639072,37.6351623535156,0,0,0,20,299.832733154297,1,6,1,1.10000610351562,34.7018585205078,,,,,,,,,,,,,,,,
,3667721320.0075,300.038925170898,4889.015625,-0.000549070152495784,4.44309605030587E-6,1,0.499626677034896,40.0298881530762,1.00202744496727,13.9300003647804,-0.00151698486468516,-0.000281594618454602,0.25,-1.56175225951717E-6,-0.000548960363297696,-3.76051219269766E-6,300.038482666016,300.038482666016,4877.17626953125,4900.85498046875,56.7642079521022,19.8938792045412,37.6344604492188,0,0,0,20,299.836883544922,1,6,1,1.1090087890625,35.6793746948242,,,,,,,,,,,,,,,,
,3667721321.4405,300.03662109375,4831.2958984375,-0.000538502622843788,4.68001095892755E-6,1,0.499626677034896,40.0298881530762,1.00206125709793,13.9300003647804,-0.00148828944629552,-0.000273717368735327,0.25,-6.39255158050026E-7,-0.000538398564581599,-2.79590021314444E-6,300.036743164063,300.036743164063,4821.3427734375,4841.2490234375,56.6117903908521,19.8948649187509,37.6419639587402,0,0,0,20,299.838073730469,1,6,1,1.10992431640625,34.7018585205078,,,,,,,,,,,,,,,,
,3667721322.445,300.036361694336,4791.33813476562,-0.000532027671528478,5.34546265322776E-6,1,0.499626677034896,40.0298881530762,1.0021154813639,13.9300003647804,-0.00146786991958651,-0.000284692676655432,0.25,-5.78687598526187E-6,-0.000531904220790099,-7.91663023652014E-6,300.036499023438,300.036499023438,4781.41357421875,4801.2626953125,56.6907348712945,19.895029537932,37.6567420959473,0,0,0,20,299.844635009766,1,6,1,1.10015869140625,34.7018585205078,,,,,,,,,,,,,,,,
,3667721323.961,300.034255981445,4731.42724609375,-0.000520401271554529,4.55476053339751E-6,1,0.499626677034896,40.0298881530762,1.00210641111947,13.9300003647804,-0.00143856916140033,-0.000263199829555148,0.25,-1.37112041133418E-7,-0.000520302678595632,-2.2213980834794E-6,300.034454345703,300.034454345703,4721.4140625,4741.4404296875,56.7767140084099,19.893926997833,37.6565055847168,0,0,0,20,299.844635009766,1,6,1,1.1004638671875,35.190616607666,,,,,,,,,,,,,,,,
,3667721324.9245,300.033752441406,4691.36547851562,-0.000516996584766294,4.16031613991481E-6,1,0.499626677034896,40.0298881530762,1.00210704864794,13.9300003647804,-0.00142795018267853,-0.000268091393999055,0.25,-2.52846208797012E-6,-0.00051688906388264,-4.5986751538159E-6,300.034057617188,300.034057617188,4681.263671875,4701.46728515625,56.7180918694675,19.8955900039629,37.6600227355957,0,0,0,20,299.850555419922,1,6,1,1.1083984375,34.7018585205078,,,,,,,,,,,,,,,,
,3667721326.4125,300.032043457031,4631.30395507812,-0.000507202789060893,5.26842153070323E-6,1,0.499626677034896,40.0298881530762,1.00212455948365,13.9300003647804,-0.00140163796142214,-0.000259109732380874,0.25,-1.06704703551784E-6,-0.00050710299655023,-3.098337325335E-6,300.031890869141,300.031890869141,4621.31982421875,4641.2880859375,56.6633778731214,19.8926581667167,37.6628379821777,0,0,0,20,299.852935791016,1,6,1,1.10855102539062,35.6793746948242,,,,,,,,,,,,,,,,
,3667721327.434,300.031661987305,4591.44091796875,-0.000493636073880396,4.49896841238763E-6,1,0.499626677034896,40.0298881530762,1.00212634440619,13.9300003647804,-0.00136365115631386,-0.000254905887447351,0.25,-2.02469914023818E-6,-0.000493535006565794,-4.00148284728277E-6,300.032196044922,300.032196044922,4581.314453125,4601.5673828125,56.7532651528329,19.8948029570265,37.6668243408203,0,0,0,20,299.858703613281,1,6,1,1.10916137695312,35.190616607666,,,,,,,,,,,,,,,,
,3667721328.9335,300.029800415039,4531.515625,-0.000490654712273802,4.06423399470279E-6,1,0.499626677034896,40.0298881530762,1.00209093759465,13.9300003647804,-0.00135417857404161,-0.000259866137047051,0.25,-4.36687533729359E-6,-0.000490544856877189,-6.33130541850584E-6,300.030181884766,300.030181884766,4521.4580078125,4541.5732421875,56.8001628639868,19.8945968965527,37.672924041748,0,0,0,20,299.861114501953,1,6,1,1.10000610351562,35.6793746948242,,,,,,,,,,,,,,,,
,3667721329.9175,300.028869628906,4491.607421875,-0.000482592176503974,4.46186934831247E-6,1,0.499626677034896,40.0298881530762,1.00207453809013,13.9300003647804,-0.00133240572023509,-0.000252849665890248,0.25,-3.30315147676902E-6,-0.000482488114821637,-5.23550471240316E-6,300.029418945313,300.029418945313,4481.66259765625,4501.55224609375,56.7462304961599,19.8954309532636,37.6677627563477,0,0,0,20,299.863677978516,1,6,1,1.10855102539062,34.7018585205078,,,,,,,,,,,,,,,,
,3667721331.4685,300.028411865234,4431.8408203125,-0.000475201678079012,4.80508606706256E-6,1,0.499626677034896,40.0298881530762,1.00211185272197,13.9300003647804,-0.00131186996543778,-0.000249970732287752,0.25,-3.60849457468216E-6,-0.000475097790908148,-5.51120526946561E-6,300.028869628906,300.028869628906,4421.818359375,4441.86328125,56.6813553290637,19.8949469672416,37.6731567382812,0,0,0,20,299.867889404297,1,6,1,1.10870361328125,35.190616607666,,,,,,,,,,,,,,,,
,3667721332.425,300.027420043945,4391.84912109375,-0.000466361148719161,4.12305963604735E-6,1,0.499626677034896,40.0298881530762,1.00211185272197,13.9300003647804,-0.00128726758162129,-0.000246397257691273,0.25,-3.93089672447971E-6,-0.000466257649835983,-5.79815281249146E-6,300.027954101562,300.027954101562,4381.93017578125,4401.76806640625,56.7571732954291,19.8949469672416,37.6736259460449,0,0,0,20,299.873016357422,1,6,1,1.10992431640625,36.1681327819824,,,,,,,,,,,,,,,,
,3667721333.9525,300.027587890625,4331.85107421875,-0.000454158592188016,4.49966272062199E-6,1,0.499626677034896,40.0298881530762,1.0021802021021,13.9300003647804,-0.00125185478994722,-0.000249907040995669,0.25,-7.42359003672766E-6,-0.000454043395396664,-9.24132336858379E-6,300.027984619141,300.027984619141,4321.9462890625,4341.755859375,56.6579064734868,19.89327734173,37.6801948547363,0,0,0,20,299.876647949219,1,6,1,1.10946655273438,35.6793746948242,,,,,,,,,,,,,,,,
,3667721334.965,300.026947021484,4292.052734375,-0.000446187424461654,4.56207884435107E-6,1,0.499626677034896,40.0298881530762,1.00209090691021,13.9300003647804,-0.00123284860914749,-0.000228667414235836,0.25,-1.20466811841124E-6,-0.000446098647093888,-2.99165608147325E-6,300.026947021484,300.026947021484,4281.98486328125,4302.12060546875,56.6829185861022,19.8938509348056,37.6773796081543,0,0,0,20,299.879669189453,1,6,1,1.10870361328125,35.6793746948242,,,,,,,,,,,,,,,,
,3667721336.412,300.026214599609,4231.5322265625,-0.000441406555540428,4.51998818989497E-6,1,0.499626677034896,40.0298881530762,1.00210531872502,13.9300003647804,-0.00121916557585125,-0.000228906228862734,0.25,-2.16325522666627E-6,-0.000441314848564979,-3.93093056202748E-6,300.026214599609,300.026214599609,4221.3544921875,4241.7099609375,56.6774471864675,19.8961078239939,37.6748008728027,0,0,0,20,299.882263183594,1,6,1,1.10977172851562,35.6793746948242,,,,,,,,,,,,,,,,
,3667721337.4065,300.026397705078,4195.43969726562,-0.000431943266958771,3.97363335506472E-6,1,0.499626677034896,40.0298881530762,1.00214124670607,13.9300003647804,-0.00119330766575721,-0.000222708889715148,0.25,-1.64742041278891E-6,-0.000431855402951238,-3.37729292974565E-6,300.026336669922,300.026336669922,4185.46826171875,4205.4111328125,56.5578580230252,19.8966364653897,37.6818351745605,0,0,0,20,299.882476806641,1,6,1,1.10076904296875,35.190616607666,,,,,,,,,,,,,,,,
,3667721338.9165,300.026458740234,4133.4873046875,-0.000424532364406136,4.10985061857159E-6,1,0.499626677034896,40.0298881530762,1.00209082434513,13.9300003647804,-0.00117220959017422,-0.000221972583805112,0.25,-2.7389783226906E-6,-0.000424441520198282,-4.43897225919018E-6,300.026458740234,300.026458740234,4125.50048828125,4141.47412109375,56.8329912617945,19.8957807544716,37.6771430969238,0,0,0,20,299.885467529297,1,6,1,1.10107421875,36.1681327819824,,,,,,,,,,,,,,,,
,3667721339.905,300.026336669922,4095.59252929687,-0.000420649279260218,4.39678482248986E-6,1,0.499626677034896,40.0298881530762,1.00210228473984,13.9300003647804,-0.00116037254715674,-0.000226121381153784,0.25,-4.94820426279692E-6,-0.000420550317421657,-6.63223662580633E-6,300.026123046875,300.026123046875,4085.51953125,4105.66552734375,56.6868267286983,19.8982020160933,37.679256439209,0,0,0,20,299.887878417969,1,6,1,1.1004638671875,35.6793746948242,,,,,,,,,,,,,,,,
,3667721341.436,300.027221679687,4033.66223144531,-0.0004069639112704,4.09863216431945E-6,1,0.499626677034896,40.0298881530762,1.002111639291,13.9300003647804,-0.00112102846170602,-0.000227541477835101,0.25,-7.96127900588402E-6,-0.000406855440673348,-9.58993160028405E-6,300.027435302734,300.027435302734,4021.74047851562,4045.583984375,56.6860451001791,19.8945527222259,37.6898078918457,0,0,0,20,299.885925292969,1,6,1,1.10977172851562,34.7018585205078,,,,,,,,,,,,,,,,
,3667721342.456,300.026901245117,3991.78735351562,-0.000402141468605143,4.48077116074228E-6,1,0.499626677034896,40.0298881530762,1.00208759303504,13.9300003647804,-0.00110752766739218,-0.000225881733050392,0.25,-8.24384342822042E-6,-0.000402032777378358,-9.85313575103606E-6,300.027008056641,300.027008056641,3981.79931640625,4001.775390625,56.7204367550252,19.8966522170758,37.6846504211426,0,0,0,20,299.88818359375,1,6,1,1.10031127929688,35.6793746948242,,,,,,,,,,,,,,,,
,3667721343.937,300.026824951172,3931.90563964844,-0.000398958195248734,3.4439809992749E-6,1,0.499626677034896,40.0298881530762,1.0020543672589,13.9300003647804,-0.00110170864455301,-0.000207751035462889,0.25,-2.26928789538536E-6,-0.000398874035081787,-3.86696472288784E-6,300.026824951172,300.026824951172,3921.85913085937,3941.9521484375,56.7610814380252,19.896770769749,37.6806640625,0,0,0,20,299.889404296875,1,6,1,1.10076904296875,36.6568908691406,,,,,,,,,,,,,,,,
,3667721344.905,300.027755737305,3893.93530273438,-0.000384187501863962,3.87045137687693E-6,1,0.499626677034896,40.0298881530762,1.00211506606794,13.9300003647804,-0.00106033973794755,-0.000203597555953441,0.25,-3.46074495405923E-6,-0.000384101334796766,-4.99903156317563E-6,300.028137207031,300.028137207031,3885.86059570313,3902.01000976562,56.8728543162753,19.89570498277,37.6823043823242,0,0,0,20,299.890808105469,1,6,1,1.10916137695312,35.6793746948242,,,,,,,,,,,,,,,,
,3667721346.4065,300.02783203125,3835.9599609375,-0.000379469319386854,5.18471568010495E-6,1,0.499626677034896,40.0298881530762,1.00214046023945,13.9300003647804,-0.0010472309322138,-0.00020172233228528,0.25,-3.64252509729361E-6,-0.000379383310047565,-5.16188743490652E-6,300.02783203125,300.02783203125,3825.92797851562,3845.99194335937,56.638365760506,19.8957612055433,37.6865272521973,0,0,0,20,299.891021728516,1,6,1,1.11007690429688,35.6793746948242,,,,,,,,,,,,,,,,
,3667721347.4525,300.028503417969,3791.90148925781,-0.000372823854117021,4.67641755647926E-6,1,0.499626677034896,40.0298881530762,1.00202976822472,13.9300003647804,-0.00102900431117006,-0.000196929119073565,0.25,-3.13061018108743E-6,-0.000372741136261709,-4.6234523726369E-6,300.028503417969,300.028503417969,3781.88037109375,3801.92260742188,56.6938613853714,19.8961091263822,37.6912155151367,0,0,0,20,299.892456054687,1,6,1,1.1004638671875,35.190616607666,,,,,,,,,,,,,,,,
,3667721348.905,300.028686523438,3733.99877929687,-0.000360206412347147,4.3327403247558E-6,1,0.499626677034896,40.0298881530762,1.00206369207232,13.9300003647804,-0.000994394812468233,-0.000189277564309064,0.25,-2.66532283922411E-6,-0.000360127929973753,-4.10771892735552E-6,300.028686523438,300.028686523438,3721.95385742188,3746.04370117188,56.6954246424098,19.8971323336095,37.6926231384277,0,0,0,20,299.893859863281,1,6,1,1.11038208007812,35.6793746948242,,,,,,,,,,,,,,,,
,3667721349.93,300.029083251953,3693.95104980469,-0.000355389290237328,4.35873403773015E-6,1,0.499626677034896,40.0298881530762,1.00211102161716,13.9300003647804,-0.000980113846991008,-0.000192386864759565,0.25,-4.66685434631323E-6,-0.00035530369122662,-6.08958156800511E-6,300.028900146484,300.028900146484,3681.96044921875,3705.94165039063,56.6915164998137,19.8949859091544,37.6977844238281,0,0,0,20,299.892333984375,1,6,1,1.10076904296875,36.1681327819824,,,,,,,,,,,,,,,,
,3667721351.4155,300.029510498047,3632.10217285156,-0.000345383293953258,4.92976256666873E-6,1,0.499626677034896,40.0298881530762,1.00208327937795,13.9300003647804,-0.000951008965976794,-0.000195085204793389,0.25,-7.47283889253093E-6,-0.000345288332113962,-8.85496333644658E-6,300.029510498047,300.029510498047,3622.072265625,3642.13208007812,56.7431039820829,19.8960909155877,37.6973152160645,0,0,0,20,299.892578125,1,6,1,1.10031127929688,35.6793746948242,,,,,,,,,,,,,,,,
,3667721352.4135,300.029541015625,3592.21069335937,-0.000338025802882446,4.524083637765E-6,1,0.499626677034896,40.0298881530762,1.0020914577936,13.9300003647804,-0.000929427180710951,-0.000198214348479095,0.25,-9.94831064497522E-6,-0.00033792230895466,-1.13005023539726E-5,300.028778076172,300.028778076172,3582.25927734375,3602.162109375,56.8064158921406,19.8970524623312,37.7008323669434,0,0,0,20,299.889251708984,1,6,1,1.10946655273438,36.1681327819824,,,,,,,,,,,,,,,,
,3667721353.929,300.031433105469,3534.38781738281,-0.00032999150240796,4.27575185921179E-6,1,0.499626677034896,40.0298881530762,1.00205451752097,13.9300003647804,-0.000908108538703246,-0.000189085978581561,0.25,-8.11652714340687E-6,-0.000329896835483031,-9.43687791504383E-6,300.031433105469,300.031433105469,3522.38012695313,3546.3955078125,56.8595666314483,19.9000188210723,37.706226348877,0,0,0,20,299.890625,1,6,1,1.109619140625,35.6793746948242,,,,,,,,,,,,,,,,
