#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000  20.00000000   0.74100000
  0.00000000  20.00000000   0.74100000
  0.00000000  10.08213842   0.29400000
 18.62663563  10.08213842   0.29400000
 18.62663563  62.88876172   2.58438720
262.43013673  62.88876172   2.58438720
262.43013673  20.68571180   1.44331961
287.61049354  20.68571180   1.44331961
287.61049354  62.88876172   2.58438720
546.80838997  62.88876172   2.58438720
546.80838997  20.68571180   1.44331961
569.21132061  20.68571180   1.44331961
569.21132061  62.88876172   2.58438720
827.05848746  62.88876172   2.58438720
827.05848746  20.68571180   1.44331961
850.54944966  20.68571180   1.44331961
850.54944966  62.88876172   2.58438720
1108.50410668  62.88876172   2.58438720
1108.50410668  20.68571180   1.44331961
1132.60847677  20.68571180   1.44331961
1132.60847677  62.88876172   2.58438720
1389.36365790  62.88876172   2.58438720
1389.36365790  20.68571180   1.44331961
1413.00909169  20.68571180   1.44331961
1413.00909169  62.88876172   2.58438720
1670.12597847  62.88876172   2.58438720
1670.12597847  20.68571180   1.44331961
1693.58335932  20.68571180   1.44331961
1693.58335932  62.88876172   2.58438720
1948.49752403  62.88876172   2.58438720
1948.49752403  20.68571180   1.44331961
1973.47857096  20.68571180   1.44331961
1973.47857096  62.34755251   4.01000500
2224.84300908  62.34755251   4.01000500
2224.84300908  36.26983518   0.01846719
2230.84457971  36.26983518   0.01846719
2230.84457971   0.00000000   0.00000000
2240.84457971   0.00000000   0.00000000
