SIMS Test Lab Corp.
:Sample SYNTH-001 (Synthetic TaN/Si)
03/17/2026
Drawn Curves,8
Num of Cycles,50

H,,C,,O,,F,,N,,AL->,,Si->,,Ta->
Depth,CONC.,Depth,CONC.,Depth,CONC.,Depth,CONC.,Depth,CONC.,Depth,CONC.,Depth,CONC.,Depth,CONC.
(nm),(atoms/cc),(nm),(atoms/cc),(nm),(atoms/cc),(nm),(atoms/cc),(nm),(atoms/cc),(nm),(arb. units),(nm),(arb. units),(nm),(arb. units)

0.26900,5.37118e+21,0.31700,2.08355e+20,0.37400,2.78256e+22,0.47900,1.03076e+19,0.52700,4.2637e+19,0.03300,3.83761,0.10700,0.1,0.45600,88.2999
0.77576,4.66072e+21,0.82380,9.06716e+19,0.88065,1.82427e+22,0.98555,8.49047e+18,1.03359,1.07673e+20,0.53845,10.4708,0.61298,0.1,0.95792,88.2999
1.28251,4.06068e+21,1.33059,4.01025e+19,1.38731,1.19602e+22,1.49210,7.00658e+18,1.54018,2.42478e+20,1.04390,22.5512,1.11896,0.1,1.45984,88.2999
1.78927,3.55389e+21,1.83739,1.83728e+19,1.89396,7.84138e+21,1.99865,5.79485e+18,2.04678,4.45065e+20,1.54935,33.9128,1.62494,0.1,1.96176,88.2999
2.29602,3.12588e+21,2.34418,9.03544e+18,2.40061,5.14112e+21,2.50520,4.80537e+18,2.55337,6.38992e+20,2.05480,39.5946,2.13092,0.1,2.46367,88.2998
2.80278,2.76439e+21,2.85098,5.02315e+18,2.90727,3.37084e+21,3.01176,3.99738e+18,3.05996,7.591e+20,2.56024,41.5672,2.63690,0.1,2.96559,88.2997
3.30953,2.45908e+21,3.35778,3.29906e+18,3.41392,2.21025e+21,3.51831,3.33757e+18,3.56655,8.14702e+20,3.06569,42.1612,3.14288,0.100001,3.46751,88.2996
3.81629,2.20122e+21,3.86457,2.55821e+18,3.92057,1.44938e+21,4.02486,2.79879e+18,4.07314,8.3696e+20,3.57114,42.3322,3.64886,0.100001,3.96943,88.2995
4.32304,1.98344e+21,4.37137,2.23986e+18,4.42722,9.5055e+20,4.53141,2.35882e+18,4.57973,8.45345e+20,4.07659,42.3808,4.15484,0.100002,4.47135,88.2993
4.82980,1.79951e+21,4.87816,2.10307e+18,4.93388,6.23521e+20,5.03796,1.99955e+18,5.08633,8.48431e+20,4.58204,42.3946,4.66082,0.100003,4.97327,88.299
5.33655,1.64416e+21,5.38496,2.04429e+18,5.44053,4.09122e+20,5.54451,1.70617e+18,5.59292,8.49557e+20,5.08749,42.3984,5.16680,0.100005,5.47518,88.2986
5.84331,1.51296e+21,5.89176,2.01903e+18,5.94718,2.68563e+20,6.05106,1.46661e+18,6.09951,8.49966e+20,5.59294,42.3995,5.67278,0.100008,5.97710,88.298
6.35006,1.40215e+21,6.39855,2.00818e+18,6.45384,1.76413e+20,6.55761,1.27098e+18,6.60610,8.50115e+20,6.09839,42.3998,6.17876,0.100013,6.47902,88.2972
6.85682,1.30856e+21,6.90535,2.00351e+18,6.96049,1.16e+20,7.06416,1.11123e+18,7.11269,8.50169e+20,6.60384,42.3999,6.68473,0.100022,6.98094,88.2961
7.36357,1.22952e+21,7.41214,2.00151e+18,7.46714,7.63936e+19,7.57071,9.80782e+17,7.61929,8.50188e+20,7.10929,42.3998,7.19071,0.100036,7.48286,88.2945
7.87033,1.16276e+21,7.91894,2.00065e+18,7.97380,5.04277e+19,8.07727,8.7426e+17,8.12588,8.50195e+20,7.61473,42.3997,7.69669,0.10006,7.98478,88.2923
8.37708,1.10638e+21,8.42573,2.00028e+18,8.48045,3.34046e+19,8.58382,7.87275e+17,8.63247,8.50197e+20,8.12018,42.3996,8.20267,0.1001,8.48669,88.2892
8.88384,1.05876e+21,8.93253,2.00012e+18,8.98710,2.22443e+19,9.09037,7.16244e+17,9.13906,8.50197e+20,8.62563,42.3994,8.70865,0.100166,8.98861,88.285
9.39059,1.01855e+21,9.43933,2.00005e+18,9.49376,1.49277e+19,9.59692,6.58241e+17,9.64565,8.50196e+20,9.13108,42.3991,9.21463,0.100275,9.49053,88.279
9.89735,9.84579e+20,9.94612,2.00002e+18,10.00041,1.01309e+19,10.10347,6.10877e+17,10.15224,8.50194e+20,9.63653,42.3986,9.72061,0.100455,9.99245,88.2706
10.40410,9.55891e+20,10.45292,2.00001e+18,10.50706,6.9862e+18,10.61002,5.722e+17,10.65884,8.5019e+20,10.14198,42.3979,10.22659,0.100755,10.49437,88.259
10.91086,9.31662e+20,10.95971,2e+18,11.01371,4.92453e+18,11.11657,5.40616e+17,11.16543,8.50183e+20,10.64743,42.3967,10.73257,0.101253,10.99629,88.2427
11.41761,9.11199e+20,11.46651,2e+18,11.52037,3.5729e+18,11.62312,5.14825e+17,11.67202,8.50172e+20,11.15288,42.395,11.23855,0.102078,11.49820,88.2199
11.92437,8.93916e+20,11.97331,2e+18,12.02702,2.68679e+18,12.12967,4.93765e+17,12.17861,8.50154e+20,11.65833,42.3924,11.74453,0.103446,12.00012,88.1881
12.43112,8.7932e+20,12.48010,2e+18,12.53367,2.10585e+18,12.63622,4.76567e+17,12.68520,8.50123e+20,12.16378,42.3884,12.25051,0.105715,12.50204,88.1438
12.93788,8.66992e+20,12.98690,2e+18,13.04033,1.72499e+18,13.14278,4.62524e+17,13.19180,8.50073e+20,12.66922,42.3824,12.75649,0.109479,13.00396,88.0818
13.44463,8.5658e+20,13.49369,2e+18,13.54698,1.4753e+18,13.64933,4.51056e+17,13.69839,8.49989e+20,13.17467,42.3731,13.26247,0.115722,13.50588,87.9954
13.95139,8.47786e+20,14.00049,2e+18,14.05363,1.31161e+18,14.15588,4.41692e+17,14.20498,8.4985e+20,13.68012,42.3591,13.76845,0.126073,14.00780,87.875
14.45814,8.40359e+20,14.50729,2e+18,14.56029,1.20444e+18,14.66243,4.34045e+17,14.71157,8.4962e+20,14.18557,42.3377,14.27443,0.143238,14.50971,87.7072
