Eurofins EAG Materials Science, LLC
:Sample 2829
2/17/2026
Drawn Curves,8
Num of Cycles,273

H,,C,,O,,F,,N,,AL->,,Si->,,Ta->
Depth,CONC.,Depth,CONC.,Depth,CONC.,Depth,CONC.,Depth,CONC.,Depth,CONC.,Depth,CONC.,Depth,CONC.
(nm),(atoms/cc),(nm),(atoms/cc),(nm),(atoms/cc),(nm),(atoms/cc),(nm),(atoms/cc),(nm),(arb. units),(nm),(arb. units),(nm),(arb. units)

0.27,4.6116E+22,0.32,1.0781E+20,0.37,1.0804E+19,0.48,1.7784E+19,0.53,1.5732E+22,0.03,1.0290E+17,0.11,2.0596E+18,0.46,2.0215E+22
1.0053,4.2687E+22,1.0553,9.2688E+19,1.1053,9.8357E+18,1.2153,1.5495E+19,1.2653,1.7630E+22,0.76529,9.8995E+16,0.84529,1.9136E+18,1.1953,2.5493E+22
1.7406,3.7044E+22,1.7906,7.8996E+19,1.8406,9.4505E+18,1.9506,1.4497E+19,2.0006,1.9529E+22,1.5006,9.5740E+16,1.5806,1.8967E+18,1.9306,2.9432E+22
2.4759,3.1008E+22,2.5259,7.4488E+19,2.5759,9.3398E+18,2.6859,1.2780E+19,2.7359,2.3033E+22,2.2359,1.0327E+17,2.3159,1.9915E+18,2.6659,2.9089E+22
3.2112,2.5015E+22,3.2612,6.0009E+19,3.3112,1.0539E+19,3.4212,1.1929E+19,3.4712,2.6241E+22,2.9712,1.0228E+17,3.0512,1.9412E+18,3.4012,3.2067E+22
3.9465,2.2134E+22,3.9965,5.3385E+19,4.0465,1.0216E+19,4.1565,9.7630E+18,4.2065,2.4877E+22,3.7065,9.5693E+16,3.7865,2.0410E+18,4.1365,3.6452E+22
4.6818,1.8350E+22,4.7318,4.6842E+19,4.7818,1.0444E+19,4.8918,8.9830E+18,4.9418,2.5707E+22,4.4418,9.5566E+16,4.5218,1.9109E+18,4.8718,3.3814E+22
5.4171,1.7719E+22,5.4671,4.6534E+19,5.5171,9.2738E+18,5.6271,7.9881E+18,5.6771,2.5944E+22,5.1771,9.1976E+16,5.2571,2.1586E+18,5.6071,3.5564E+22
6.1524,1.4757E+22,6.2024,4.0256E+19,6.2524,9.3622E+18,6.3624,6.6275E+18,6.4124,2.5223E+22,5.9124,1.0306E+17,5.9924,2.0756E+18,6.3424,3.5259E+22
6.8876,1.3107E+22,6.9376,4.0064E+19,6.9876,8.4718E+18,7.0976,6.3354E+18,7.1476,2.3792E+22,6.6476,1.0262E+17,6.7276,2.1080E+18,7.0776,3.3161E+22
7.6229,1.0583E+22,7.6729,3.8673E+19,7.7229,9.7412E+18,7.8329,4.9277E+18,7.8829,2.4745E+22,7.3829,9.9464E+16,7.4629,1.8896E+18,7.8129,3.3479E+22
8.3582,1.0285E+22,8.4082,3.4749E+19,8.4582,1.0160E+19,8.5682,5.1735E+18,8.6182,2.4909E+22,8.1182,1.0664E+17,8.1982,2.0882E+18,8.5482,3.4462E+22
9.0935,8.8705E+21,9.1435,3.5980E+19,9.1935,9.8234E+18,9.3035,4.0453E+18,9.3535,2.3852E+22,8.8535,1.0443E+17,8.9335,2.1464E+18,9.2835,3.1817E+22
9.8288,6.9790E+21,9.8788,3.2435E+19,9.9288,9.9539E+18,10.039,3.7268E+18,10.089,2.5327E+22,9.5888,1.0202E+17,9.6688,1.9978E+18,10.019,3.2189E+22
10.564,5.7280E+21,10.614,3.2585E+19,10.664,1.0797E+19,10.774,3.1471E+18,10.824,2.4984E+22,10.324,1.0603E+17,10.404,2.0530E+18,10.754,3.6969E+22
11.299,5.0598E+21,11.349,3.4040E+19,11.399,9.7535E+18,11.509,3.1314E+18,11.559,2.1927E+22,11.059,9.5262E+16,11.139,2.1190E+18,11.489,3.3483E+22
12.035,4.5277E+21,12.085,3.1556E+19,12.135,1.0020E+19,12.245,2.6791E+18,12.295,2.4445E+22,11.795,9.8023E+16,11.875,1.9203E+18,12.225,3.5169E+22
12.77,3.8969E+21,12.82,3.0420E+19,12.87,1.0729E+19,12.98,2.2104E+18,13.03,2.6135E+22,12.53,9.2355E+16,12.61,2.0014E+18,12.96,3.3511E+22
13.505,3.2651E+21,13.555,3.1748E+19,13.605,9.8769E+18,13.715,2.1574E+18,13.765,2.1345E+22,13.265,9.6348E+16,13.345,1.9547E+18,13.695,3.5952E+22
14.241,2.9623E+21,14.291,3.2319E+19,14.341,1.0193E+19,14.451,1.7335E+18,14.501,2.5555E+22,14.001,1.0033E+17,14.081,1.8694E+18,14.431,3.3042E+22
14.976,2.4698E+21,15.026,2.8530E+19,15.076,1.0693E+19,15.186,1.7253E+18,15.236,2.4971E+22,14.736,1.0262E+17,14.816,1.9782E+18,15.166,3.4742E+22
15.711,2.0396E+21,15.761,3.1582E+19,15.811,1.0964E+19,15.921,1.3944E+18,15.971,2.4924E+22,15.471,9.1747E+16,15.551,1.8703E+18,15.901,3.6732E+22
16.446,1.8572E+21,16.496,2.7981E+19,16.546,9.4819E+18,16.656,1.2251E+18,16.706,2.5589E+22,16.206,9.6030E+16,16.286,1.8531E+18,16.636,3.6765E+22
17.182,1.6238E+21,17.232,2.9456E+19,17.282,1.0975E+19,17.392,1.0811E+18,17.442,2.6353E+22,16.942,9.9540E+16,17.022,1.9222E+18,17.372,3.3343E+22
17.917,1.4795E+21,17.967,3.0884E+19,18.017,9.9837E+18,18.127,1.0184E+18,18.177,2.4301E+22,17.677,1.0315E+17,17.757,2.0649E+18,18.107,3.6513E+22
18.652,1.1702E+21,18.702,3.0936E+19,18.752,9.8437E+18,18.862,9.2247E+17,18.912,2.5720E+22,18.412,9.8581E+16,18.492,2.0207E+18,18.842,3.4604E+22
19.388,1.0599E+21,19.438,3.1017E+19,19.488,9.9768E+18,19.598,7.7120E+17,19.648,2.5389E+22,19.148,1.0012E+17,19.228,2.0768E+18,19.578,3.4886E+22
20.123,9.2605E+20,20.173,3.1205E+19,20.223,1.0842E+19,20.333,7.6382E+17,20.383,2.3842E+22,19.883,9.1315E+16,19.963,1.9769E+18,20.313,3.2722E+22
