X,Intensity (counts)
5.00656514,1839
5.019695423,1769
5.032825705,1788
5.045955988,1716
5.059086271,1717
5.072216553,1683
5.085346836,1816
5.098477119,1826
5.111607401,1671
5.124737684,1737
5.137867967,1714
5.150998249,1785
5.164128532,1720
5.177258815,1744
5.190389097,1731
5.20351938,1692
5.216649663,1753
5.229779946,1709
5.242910228,1701
5.256040511,1709
5.269170794,1659
5.282301076,1679
5.295431359,1712
5.308561642,1742
5.321691924,1710
5.334822207,1682
5.34795249,1700
5.361082772,1705
5.374213055,1698
5.387343338,1682
5.40047362,1696
5.413603903,1684
5.426734186,1638
5.439864468,1668
5.452994751,1666
5.466125034,1691
5.479255316,1717
5.492385599,1632
5.505515882,1662
5.518646164,1645
5.531776447,1686
5.54490673,1698
5.558037012,1708
5.571167295,1608
5.584297578,1671
5.59742786,1677
5.610558143,1604
5.623688426,1607
5.636818709,1625
5.649948991,1701
5.663079274,1673
5.676209557,1599
5.689339839,1637
5.702470122,1677
5.715600405,1678
5.728730687,1705
5.74186097,1688
5.754991253,1531
5.768121535,1636
5.781251818,1601
5.794382101,1547
5.807512383,1562
5.820642666,1652
5.833772949,1570
5.846903231,1641
5.860033514,1546
5.873163797,1616
5.886294079,1610
5.899424362,1726
5.912554645,1566
5.925684927,1677
5.93881521,1683
5.951945493,1605
5.965075775,1654
5.978206058,1645
5.991336341,1567
6.004466623,1595
6.017596906,1592
6.030727189,1630
6.043857472,1603
6.056987754,1606
6.070118037,1575
6.08324832,1601
6.096378602,1550
6.109508885,1616
6.122639168,1686
6.13576945,1616
6.148899733,1590
6.162030016,1720
6.175160298,1580
6.188290581,1525
6.201420864,1675
6.214551146,1556
6.227681429,1576
6.240811712,1576
6.253941994,1597
6.267072277,1585
6.28020256,1578
6.293332842,1643
6.306463125,1555
6.319593408,1666
6.33272369,1606
6.345853973,1616
6.358984256,1684
6.372114538,1608
6.385244821,1557
6.398375104,1710
6.411505386,1575
6.424635669,1688
6.437765952,1663
6.450896235,1588
6.464026517,1644
6.4771568,1700
6.490287083,1598
6.503417365,1581
6.516547648,1662
6.529677931,1640
6.542808213,1752
6.555938496,1662
6.569068779,1702
6.582199061,1663
6.595329344,1598
6.608459627,1620
6.621589909,1633
6.634720192,1636
6.647850475,1625
6.660980757,1699
6.67411104,1757
6.687241323,1690
6.700371605,1645
6.713501888,1622
6.726632171,1641
6.739762453,1585
6.752892736,1669
6.766023019,1704
6.779153301,1763
6.792283584,1629
6.805413867,1719
6.818544149,1734
6.831674432,1627
6.844804715,1640
6.857934997,1678
6.87106528,1680
6.884195563,1717
6.897325846,1696
6.910456128,1636
6.923586411,1730
6.936716694,1701
6.949846976,1672
6.962977259,1692
6.976107542,1650
6.989237824,1718
7.002368107,1702
7.01549839,1643
7.028628672,1712
7.041758955,1709
7.054889238,1750
7.06801952,1812
7.081149803,1773
7.094280086,1724
7.107410368,1728
7.120540651,1747
7.133670934,1705
7.146801216,1708
7.159931499,1786
7.173061782,1843
7.186192064,1825
7.199322347,1753
7.21245263,1679
7.225582912,1720
7.238713195,1738
7.251843478,1792
7.26497376,1784
7.278104043,1735
7.291234326,1795
7.304364609,1797
7.317494891,1763
7.330625174,1727
7.343755457,1836
7.356885739,1640
7.370016022,1751
7.383146305,1717
7.396276587,1791
7.40940687,1842
7.422537153,1766
7.435667435,1693
7.448797718,1804
7.461928001,1833
7.475058283,1773
7.488188566,1818
7.501318849,1778
7.514449131,1845
7.527579414,1808
7.540709697,1724
7.553839979,1801
7.566970262,1729
7.580100545,1840
7.593230827,1753
7.60636111,1745
7.619491393,1697
7.632621675,1770
7.645751958,1798
7.658882241,1882
7.672012523,1775
7.685142806,1800
7.698273089,1800
7.711403372,1753
7.724533654,1824
7.737663937,1827
7.75079422,1786
7.763924502,1770
7.777054785,1781
7.790185068,1811
7.80331535,1742
7.816445633,1808
7.829575916,1845
7.842706198,1834
7.855836481,1842
7.868966764,1826
7.882097046,1745
7.895227329,1749
7.908357612,1835
7.921487894,1870
7.934618177,1820
7.94774846,1818
7.960878742,1862
7.974009025,1815
7.987139308,1795
8.00026959,1794
8.013399873,1870
8.026530156,1756
8.039660438,1771
8.052790721,1804
8.065921004,1831
8.079051286,1821
8.092181569,1801
8.105311852,1762
8.118442135,1846
8.131572417,1771
8.1447027,1808
8.157832983,1835
8.170963265,1743
8.184093548,1759
8.197223831,1830
8.210354113,1828
8.223484396,1768
8.236614679,1813
8.249744961,1816
8.262875244,1813
8.276005527,1765
8.289135809,1730
8.302266092,1778
8.315396375,1788
8.328526657,1867
8.34165694,1798
8.354787223,1730
8.367917505,1876
8.381047788,1808
8.394178071,1796
8.407308353,1734
8.420438636,1753
8.433568919,1721
8.446699201,1728
8.459829484,1822
8.472959767,1778
8.486090049,1759
8.499220332,1769
8.512350615,1795
8.525480898,1748
8.53861118,1795
8.551741463,1751
8.564871746,1692
8.578002028,1639
8.591132311,1698
8.604262594,1781
8.617392876,1793
8.630523159,1759
8.643653442,1671
8.656783724,1712
8.669914007,1772
8.68304429,1693
8.696174572,1702
8.709304855,1707
8.722435138,1628
8.73556542,1653
8.748695703,1675
8.761825986,1655
8.774956268,1723
8.788086551,1698
8.801216834,1646
8.814347116,1660
8.827477399,1669
8.840607682,1701
8.853737964,1706
8.866868247,1693
8.87999853,1681
8.893128812,1662
8.906259095,1681
8.919389378,1717
8.932519661,1623
8.945649943,1629
8.958780226,1714
8.971910509,1663
8.985040791,1628
8.998171074,1593
9.011301357,1583
9.024431639,1591
9.037561922,1627
9.050692205,1664
9.063822487,1691
9.07695277,1602
9.090083053,1577
9.103213335,1583
9.116343618,1655
9.129473901,1642
9.142604183,1594
9.155734466,1630
9.168864749,1609
9.181995031,1613
9.195125314,1630
9.208255597,1619
9.221385879,1563
9.234516162,1514
9.247646445,1554
9.260776727,1579
9.27390701,1620
9.287037293,1562
9.300167575,1544
9.313297858,1505
9.326428141,1528
9.339558424,1578
9.352688706,1544
9.365818989,1580
9.378949272,1578
9.392079554,1594
9.405209837,1556
9.41834012,1605
9.431470402,1520
9.444600685,1579
9.457730968,1604
9.47086125,1570
9.483991533,1537
9.497121816,1498
9.510252098,1594
9.523382381,1500
9.536512664,1536
9.549642946,1546
9.562773229,1529
9.575903512,1542
9.589033794,1554
9.602164077,1539
9.61529436,1503
9.628424642,1494
9.641554925,1447
9.654685208,1465
9.66781549,1560
9.680945773,1583
9.694076056,1460
9.707206338,1471
9.720336621,1436
9.733466904,1460
9.746597186,1511
9.759727469,1524
9.772857752,1464
9.785988035,1495
9.799118317,1487
9.8122486,1516
9.825378883,1443
9.838509165,1460
9.851639448,1461
9.864769731,1451
9.877900013,1488
9.891030296,1466
9.904160579,1450
9.917290861,1480
9.930421144,1501
9.943551427,1415
9.956681709,1449
9.969811992,1396
9.982942275,1463
9.996072557,1475
10.00920284,1450
10.02233312,1381
10.03546341,1462
10.04859369,1361
10.06172397,1396
10.07485425,1462
10.08798454,1452
10.10111482,1498
10.1142451,1419
10.12737538,1402
10.14050567,1411
10.15363595,1425
10.16676623,1464
10.17989651,1383
10.1930268,1436
10.20615708,1362
10.21928736,1393
10.23241765,1383
10.24554793,1418
10.25867821,1432
10.27180849,1459
10.28493878,1484
10.29806906,1469
10.31119934,1390
10.32432962,1337
10.33745991,1435
10.35059019,1397
10.36372047,1414
10.37685076,1368
10.38998104,1509
10.40311132,1460
10.4162416,1371
10.42937189,1368
10.44250217,1367
10.45563245,1388
10.46876273,1325
10.48189302,1427
10.4950233,1410
10.50815358,1388
10.52128386,1367
10.53441415,1294
10.54754443,1346
10.56067471,1349
10.573805,1367
10.58693528,1353
10.60006556,1348
10.61319584,1410
10.62632613,1413
10.63945641,1304
10.65258669,1345
10.66571697,1383
10.67884726,1405
10.69197754,1355
10.70510782,1289
10.7182381,1275
10.73136839,1316
10.74449867,1340
10.75762895,1380
10.77075924,1323
10.78388952,1412
10.7970198,1383
10.81015008,1369
10.82328037,1277
10.83641065,1396
10.84954093,1281
10.86267121,1369
10.8758015,1291
10.88893178,1353
10.90206206,1310
10.91519234,1363
10.92832263,1322
10.94145291,1303
10.95458319,1366
10.96771348,1295
10.98084376,1296
10.99397404,1295
11.00710432,1300
11.02023461,1456
11.03336489,1311
11.04649517,1373
11.05962545,1365
11.07275574,1300
11.08588602,1333
11.0990163,1292
11.11214658,1387
11.12527687,1298
11.13840715,1322
11.15153743,1323
11.16466772,1396
11.177798,1305
11.19092828,1269
11.20405856,1386
11.21718885,1376
11.23031913,1312
11.24344941,1293
11.25657969,1286
